T1_v1_x,T1_v1_y,T1_v1_z,T1_v2_x,T1_v2_y,T1_v2_z,T1_v3_x,T1_v3_y,T1_v3_z,T1_v4_x,T1_v4_y,T1_v4_z,T2_v1_x,T2_v1_y,T2_v1_z,T2_v2_x,T2_v2_y,T2_v2_z,T2_v3_x,T2_v3_y,T2_v3_z,T2_v4_x,T2_v4_y,T2_v4_z,intersection_status
0.977847,0.93472,0.370291,0.355899,0.818457,0.737928,0.849695,0.528726,0.698981,0.297928,0.47397,0.0998008,0.331968,0.651595,0.831464,0.586165,0.27035,0.0635238,0.311733,0.513648,0.10489,0.407482,0.420037,0.23242,1
0.330188,0.312054,0.416518,0.0498255,0.855198,0.313235,0.652532,0.102701,0.227627,0.698494,0.017165,0.684488,0.90114,0.864655,0.541966,0.157958,0.941482,0.280543,0.30924,0.252082,0.0997348,0.682209,0.877938,0.419613,0
0.647017,0.602924,0.600299,0.588679,0.211953,0.723876,0.616645,0.92719,0.371757,0.778583,0.165349,0.269397,0.854785,0.289226,0.55712,0.55244,0.778251,0.0144747,0.768316,0.791143,0.951603,0.999098,0.280382,0.997465,1
0.94781,0.90699,0.864184,0.307241,0.508914,0.495789,0.533336,0.2432,0.397485,0.904868,0.97929,0.479315,0.703974,0.947934,0.778161,0.387314,0.711079,0.827381,0.264801,0.295433,0.579185,0.158148,0.150267,0.879931,0
0.93775,0.119456,0.12368,0.0998493,0.246903,0.789956,0.125198,0.121336,0.507886,0.661961,0.906955,0.241864,0.7483,0.347609,0.536945,0.501274,0.298629,0.612192,0.233832,0.929369,0.336215,0.329069,0.0761037,0.0306864,1
0.393409,0.43103,0.824997,0.525721,0.415166,0.822431,0.0960251,0.762553,0.680767,0.855688,0.0581219,0.869425,0.163194,0.908754,0.522427,0.251735,0.141868,0.824077,0.885268,0.638523,0.579967,0.184412,0.733175,0.574241,0
0.0707939,0.573002,0.578935,0.894102,0.664834,0.492192,0.262713,0.941161,0.900046,0.155157,0.649039,0.548953,0.0529551,0.651517,0.100742,0.744947,0.24269,0.110556,0.962676,0.904207,0.982145,0.570484,0.707764,0.0518,1
0.808191,0.524291,0.370024,0.96179,0.085422,0.81726,0.540558,0.688181,0.909771,0.686485,0.0879048,0.232324,0.819435,0.913177,0.4803,0.00250692,0.42385,0.145071,0.283512,0.341022,0.275296,0.482831,0.374136,0.796018,0
0.286312,0.907944,0.325197,0.692445,0.709112,0.260521,0.609931,0.428792,0.375986,0.406932,0.942529,0.392747,0.303261,0.325749,0.584077,0.376201,0.402308,0.895619,0.531028,0.382948,0.451627,0.703201,0.556033,0.0941213,1
0.461989,0.668863,0.361349,0.397877,0.425537,0.381535,0.0483425,0.0404584,0.258619,0.863935,0.50838,0.932821,0.621832,0.880542,0.647121,0.0960594,0.589479,0.63151,0.902645,0.873562,0.7205,0.727667,0.785567,0.429845,0
0.284149,0.189256,0.66113,0.288102,0.831564,0.368147,0.323755,0.81426,0.803863,0.839256,0.352119,0.483452,0.241256,0.600379,0.905733,0.774333,0.550191,0.89462,0.431413,0.264731,0.473533,0.418488,0.828941,0.953943,1
0.808912,0.444501,0.0585141,0.500179,0.84243,0.243462,0.302234,0.278059,0.153132,0.958491,0.778811,0.0997469,0.563482,0.499109,0.782472,0.582365,0.454307,0.773642,0.592015,0.863879,0.336336,0.0497066,0.332712,0.877514,0
0.647603,0.766345,0.321912,0.977179,0.914874,0.261424,0.678568,0.977584,0.132235,0.62133,0.208351,0.825094,0.940499,0.906909,0.610737,0.169394,0.672785,0.0133619,0.604308,0.160385,0.815236,0.238888,0.484188,0.276129,1
0.934095,0.576797,0.154045,0.901022,0.673512,0.821285,0.698333,0.551666,0.330185,0.75396,0.852771,0.00228943,0.574963,0.12537,0.207532,0.331336,0.696755,0.485402,0.943904,0.913258,0.885326,0.473578,0.307554,0.260279,0
0.00413539,0.405627,0.682264,0.280582,0.67837,0.809637,0.442666,0.200127,0.191396,0.713706,0.534658,0.806875,0.159765,0.40101,0.534407,0.223127,0.851487,0.745103,0.635896,0.841944,0.418952,0.831535,0.310497,0.755957,1
0.857955,0.981668,0.195458,0.722378,0.299329,0.231905,0.903192,0.875932,0.351281,0.668648,0.959993,0.99482,0.656436,0.476553,0.75064,0.911582,0.199792,0.76039,0.374274,0.320538,0.686669,0.0865897,0.00926672,0.244549,0
0.55239,0.833149,0.877864,0.762017,0.800669,0.78333,0.550523,0.422026,0.0470688,0.0910633,0.333925,0.0897836,0.46582,0.276635,0.171556,0.377668,0.723452,0.896357,0.480364,0.370985,0.127572,0.740525,0.963029,0.886824,1
0.488886,0.863214,0.685223,0.59352,0.762499,0.335167,0.902742,0.972288,0.133159,0.924871,0.90332,0.528462,0.771464,0.604415,0.0224503,0.398384,0.734318,0.609196,0.10622,0.741112,0.479738,0.0121858,0.906863,0.50445,0
0.587792,0.432253,0.428334,0.132233,0.603733,0.674038,0.00582842,0.100932,0.697272,0.456031,0.998374,0.226855,0.508348,0.272693,0.567411,0.429238,0.984963,0.134103,0.943557,0.792812,0.588777,0.914052,0.826111,0.397951,1
0.371094,0.623926,0.69291,0.823059,0.132443,0.282167,0.172406,0.0110552,0.424068,0.225892,0.952931,0.456336,0.762654,0.958522,0.0729243,0.374267,0.873076,0.0753077,0.716824,0.85984,0.793997,0.849562,0.273345,0.960625,0
0.422389,0.842411,0.704948,0.152952,0.744818,0.573438,0.245434,0.297021,0.338008,0.523322,0.310332,0.0989566,0.331298,0.591336,0.451223,0.979335,0.300776,0.784836,0.828423,0.918406,0.916326,0.26241,0.275338,0.0260325,1
0.26138,0.72796,0.731786,0.055476,0.779374,0.623582,0.922596,0.95875,0.724775,0.0918362,0.332571,0.559826,0.779907,0.47294,0.100726,0.0209187,0.376882,0.322995,0.637464,0.595087,0.987856,0.941983,0.910594,0.122225,0
0.274964,0.0942768,0.0433984,0.156258,0.0559333,0.0846694,0.509747,0.367134,0.578696,0.179585,0.768459,0.82227,0.177823,0.307613,0.223159,0.057198,0.236769,0.75081,0.896322,0.451761,0.229408,0.17917,0.995159,0.118175,1
0.0909981,0.146851,0.218556,0.312613,0.425056,0.550001,0.0776598,0.459665,0.0808779,0.239361,0.249204,0.0807441,0.92921,0.507868,0.475371,0.734411,0.674965,0.662726,0.592907,0.0784126,0.315646,0.205303,0.298827,0.740778,0
0.925677,0.679321,0.0609409,0.911663,0.726269,0.772372,0.0547715,0.288416,0.347996,0.734813,0.294808,0.521269,0.316713,0.419605,0.0340455,0.711904,0.390516,0.212613,0.805942,0.723111,0.259755,0.984157,0.0921753,0.304037,1
0.869191,0.43072,0.399726,0.635199,0.164135,0.265807,0.978076,0.508362,0.426199,0.0910633,0.0905912,0.17415,0.359184,0.9986,0.520803,0.704824,0.747692,0.350779,0.982223,0.0688372,0.478631,0.7147,0.237044,0.751215,0
0.7997,0.290577,0.37102,0.282214,0.163661,0.387682,0.299273,0.781515,0.299041,0.252541,0.259094,0.947224,0.998316,0.79212,0.542227,0.420032,0.94668,0.0507753,0.929875,0.66907,0.666387,0.487687,0.258935,0.341628,1
0.0453024,0.160363,0.0563005,0.380865,0.0806853,0.412351,0.32901,0.315237,0.560927,0.184516,0.203924,0.331588,0.717522,0.982289,0.529,0.603521,0.861243,0.87411,0.853022,0.103207,0.0587631,0.572947,0.748057,0.107061,0
0.240872,0.718021,0.934243,0.971031,0.84079,0.208366,0.197996,0.280863,0.740449,0.748821,0.658794,0.830404,0.523108,0.64908,0.47306,0.226271,0.433758,0.802164,0.434478,0.389564,0.691878,0.797806,0.647176,0.783064,1
0.806854,0.389487,0.910907,0.871403,0.753442,0.325339,0.205863,0.486484,0.477003,0.619743,0.629525,0.363194,0.435694,0.134493,0.890454,0.901807,0.234609,0.259179,0.465973,0.0519923,0.866128,0.136353,0.384842,0.275804,0
0.407938,0.327737,0.295476,0.588287,0.0276224,0.825812,0.658744,0.277482,0.84826,0.596512,0.0863777,0.73163,0.20648,0.312302,0.696516,0.839713,0.412157,0.972723,0.932581,0.249329,0.642001,0.786836,0.286848,0.758897,1
0.627237,0.965718,0.430881,0.0416993,0.511469,0.810418,0.486981,0.152257,0.685038,0.316124,0.030936,0.269322,0.959463,0.304408,0.332918,0.623571,0.00231995,0.202306,0.687806,0.950238,0.127679,0.0045019,0.364688,0.0299136,0
0.274288,0.748195,0.505443,0.264463,0.625402,0.0479408,0.104731,0.275474,0.0200229,0.655431,0.685621,0.71825,0.587172,0.894527,0.453095,0.838156,0.763034,0.453041,0.398681,0.48184,0.401359,0.871335,0.0210148,0.365139,1
0.201962,0.0883254,0.387441,0.0223358,0.317809,0.225569,0.199495,0.475733,0.180779,0.000686514,0.239847,0.806517,0.248323,0.556323,0.109912,0.341786,0.221947,0.31724,0.946605,0.540779,0.0434251,0.696202,0.904917,0.136336,0
0.621348,0.962349,0.571951,0.0140322,0.27991,0.47019,0.240474,0.368016,0.620391,0.282793,0.608873,0.114263,0.12581,0.271876,0.123656,0.4517,0.968561,0.256112,0.864534,0.000605535,0.162974,0.0660643,0.755857,0.605143,1
0.268781,0.471729,0.527272,0.730139,0.142115,0.25201,0.437365,0.306874,0.858291,0.852773,0.403505,0.862283,0.521211,0.802956,0.0767921,0.102356,0.619369,0.521111,0.181013,0.693517,0.295322,0.23535,0.357627,0.503456,0
0.0370687,0.298888,0.974485,0.811302,0.0644098,0.255059,0.154238,0.0904759,0.0252288,0.0869795,0.339881,0.59847,0.505435,0.378101,0.360916,0.696575,0.527392,0.764049,0.406088,0.167952,0.416005,0.429853,0.900122,0.731098,1
0.665851,0.309502,0.765494,0.962632,0.279062,0.589385,0.309846,0.281389,0.25989,0.569421,0.289524,0.916224,0.86159,0.564542,0.975077,0.621899,0.863419,0.456659,0.0908569,0.638461,0.705024,0.558543,0.764619,0.154898,0
0.0825012,0.404576,0.44094,0.561517,0.491048,0.920361,0.562077,0.608894,0.82493,0.57848,0.569595,0.364464,0.173668,0.758816,0.93858,0.528829,0.306823,0.689649,0.922908,0.278695,0.456951,0.344261,0.00488398,0.706409,1
0.861894,0.155995,0.669,0.530026,0.374764,0.603565,0.479818,0.243792,0.635952,0.243105,0.483693,0.519852,0.392956,0.442097,0.300529,0.400541,0.707901,0.454711,0.271874,0.742179,0.0153422,0.726562,0.765756,0.28372,0
0.0945296,0.133407,0.713282,0.328389,0.477456,0.453569,0.712456,0.126993,0.18321,0.240511,0.513393,0.621566,0.475905,0.291232,0.411939,0.256989,0.437304,0.854195,0.24877,0.516651,0.387191,0.375028,0.0615624,0.728394,1
0.0743655,0.410373,0.975027,0.311959,0.429829,0.87632,0.687156,0.592385,0.691317,0.337928,0.265085,0.8054,0.875527,0.912808,0.884179,0.0296347,0.707928,0.210294,0.858825,0.271954,0.253317,0.33744,0.574681,0.591828,0
0.689096,0.865085,0.248437,0.460129,0.514467,0.809485,0.901769,0.0367644,0.301593,0.826301,0.213346,0.492152,0.463778,0.156752,0.903932,0.989838,0.0398108,0.357004,0.127882,0.610376,0.508072,0.213647,0.695118,0.882773,1
0.572769,0.251902,0.610949,0.613129,0.387064,0.70555,0.0396639,0.473499,0.951987,0.451795,0.308146,0.80732,0.510815,0.572575,0.936029,0.176559,0.537734,0.571066,0.027293,0.699932,0.304252,0.235769,0.443434,0.419092,0
0.0233874,0.691244,0.0539266,0.737826,0.332954,0.781134,0.353252,0.408967,0.224577,0.997451,0.73725,0.0536959,0.331667,0.378452,0.719638,0.683669,0.846939,0.628569,0.886906,0.965021,0.454761,0.885397,0.489414,0.250906,1
0.639801,0.71186,0.348133,0.189609,0.822352,0.175382,0.914553,0.0621998,0.600478,0.895502,0.901835,0.825213,0.613715,0.826716,0.761306,0.34535,0.889135,0.671143,0.0143544,0.800184,0.287977,0.012818,0.529863,0.210462,0
0.486935,0.963655,0.265877,0.291889,0.474769,0.694951,0.413328,0.480134,0.381727,0.576541,0.103133,0.082793,0.0442649,0.131505,0.769045,0.0820802,0.994713,0.134658,0.577947,0.84444,0.524643,0.138193,0.368115,0.408656,1
0.854665,0.91203,0.571279,0.478137,0.58664,0.396971,0.759587,0.526578,0.647988,0.847399,0.455646,0.67189,0.00849443,0.450177,0.492343,0.595524,0.0491078,0.468148,0.757716,0.0696616,0.888619,0.203829,0.0456413,0.0878298,0
0.331749,0.384839,0.564663,0.632323,0.114465,0.132975,0.643968,0.0998814,0.370808,0.143829,0.369189,0.510471,0.45305,0.298455,0.930459,0.377143,0.732659,0.0250587,0.426523,0.0851872,0.138112,0.402044,0.438081,0.211643,1
0.557331,0.272437,0.447821,0.885306,0.97353,0.755111,0.871227,0.844464,0.205002,0.17495,0.189576,0.67457,0.289194,0.979779,0.203137,0.00890113,0.0620996,0.00742682,0.398041,0.538167,0.0240379,0.05555,0.634572,0.114178,0
0.606402,0.0869855,0.998352,0.240514,0.930632,0.274522,0.530488,0.840156,0.815897,0.104481,0.37995,0.474831,0.39674,0.774791,0.553961,0.590204,0.272733,0.449863,0.12304,0.879877,0.661457,0.584317,0.350429,0.332399,1
0.0149429,0.463752,0.201822,0.751132,0.962183,0.188513,0.505147,0.648842,0.0761991,0.78184,0.285484,0.146742,0.735563,0.0473553,0.165252,0.0771073,0.655097,0.720088,0.656805,0.599589,0.608086,0.77876,0.665166,0.634413,0
0.165016,0.0469699,0.644108,0.934987,0.893482,0.269418,0.854414,0.376501,0.75766,0.813186,0.0596641,0.712707,0.83942,0.501283,0.477552,0.0638416,0.899566,0.927124,0.28312,0.780902,0.145376,0.218122,0.974366,0.449357,1
0.073582,0.361385,0.391135,0.591292,0.636002,0.324633,0.696278,0.869455,0.713505,0.704374,0.645764,0.138301,0.983828,0.117411,0.594199,0.702749,0.496652,0.0805634,0.897275,0.389723,0.407351,0.459723,0.316793,0.0938247,0
0.417023,0.428825,0.231512,0.987649,0.0840479,0.181025,0.573203,0.578684,0.640767,0.750324,0.497578,0.815744,0.612565,0.307295,0.560564,0.894005,0.00607358,0.215767,0.188526,0.752606,0.234328,0.209785,0.234157,0.3041,1
0.0849013,0.267058,0.911912,0.603556,0.521141,0.321024,0.800585,0.920086,0.65551,0.439396,0.24624,0.309773,0.760551,0.714955,0.676774,0.651355,0.607813,0.937483,0.666359,0.505532,0.141491,0.842164,0.390396,0.180028,0
0.583475,0.2178,0.167914,0.455474,0.533155,0.277715,0.328189,0.920453,0.584306,0.569615,0.354826,0.53204,0.240963,0.66324,0.0777938,0.0100244,0.132302,0.583114,0.641492,0.606691,0.522344,0.910451,0.16742,0.375216,1
0.746866,0.659485,0.0496777,0.0171762,0.488664,0.993227,0.532539,0.0082909,0.638043,0.384635,0.514987,0.477636,0.332959,0.247948,0.215837,0.286355,0.305395,0.202241,0.564363,0.703451,0.0658509,0.0291033,0.245256,0.122839,0
0.690301,0.545735,0.903818,0.0998266,0.00338467,0.233961,0.428985,0.127131,0.0133328,0.697945,0.68986,0.619015,0.299085,0.225229,0.958542,0.453913,0.1949,0.70664,0.251239,0.64593,0.594702,0.443395,0.344902,0.606751,1
0.553038,0.129076,0.455467,0.0650672,0.837695,0.212562,0.392427,0.412571,0.154364,0.686822,0.406444,0.678846,0.642725,0.481413,0.573389,0.560895,0.0647234,0.210876,0.707466,0.0563515,0.451278,0.877168,0.582889,0.831656,0
0.226109,0.866552,0.298714,0.0531764,0.204258,0.166372,0.764864,0.400281,0.393538,0.45475,0.614846,0.165793,0.28256,0.526758,0.924805,0.263517,0.858114,0.03596,0.244989,0.42202,0.552311,0.0756916,0.57475,0.494075,1
0.687738,0.271726,0.0276328,0.590161,0.627379,0.252351,0.242664,0.982469,0.208609,0.998585,0.629979,0.790878,0.863892,0.285758,0.886033,0.432171,0.0335604,0.339503,0.350928,0.996695,0.794271,0.136872,0.967754,0.99492,0
0.630392,0.346545,0.686992,0.573215,0.236952,0.483543,0.889523,0.187929,0.179917,0.782107,0.450131,0.262352,0.817166,0.290643,0.883756,0.0271574,0.324228,0.191295,0.616282,0.464328,0.775728,0.659736,0.346138,0.347906,1
0.391213,0.913652,0.663191,0.0773685,0.370606,0.660315,0.43374,0.0478863,0.798032,0.00584363,0.619073,0.027235,0.199876,0.20374,0.371305,0.79282,0.00324722,0.29137,0.156411,0.312392,0.138418,0.748861,0.68955,0.0287271,0
0.214113,0.412356,0.114475,0.726508,0.545223,0.438411,0.00613802,0.917567,0.844346,0.651226,0.0309489,0.190893,0.881312,0.481883,0.415558,0.487354,0.729049,0.207177,0.58952,0.499413,0.7256,0.796371,0.457165,0.415158,1
0.278599,0.131469,0.314359,0.0340921,0.36056,0.52504,0.242302,0.414999,0.496826,0.310116,0.900875,0.464948,0.653764,0.0152959,0.302809,0.313283,0.0505781,0.218083,0.735231,0.0535788,0.344055,0.682742,0.852016,0.517646,0
0.649638,0.882112,0.800914,0.598102,0.0397646,0.839191,0.00661083,0.851664,0.0363241,0.0964574,0.93217,0.0690505,0.411529,0.519895,0.586152,0.852995,0.699953,0.0940881,0.576686,0.466892,0.622224,0.293599,0.197633,0.394743,1
0.666618,0.832655,0.272184,0.586162,0.838958,0.559773,0.122774,0.72688,0.87765,0.44205,0.523617,0.279362,0.937889,0.768947,0.420447,0.720448,0.7791,0.926989,0.442602,0.154825,0.613173,0.258708,0.531663,0.837774,0
0.620918,0.549053,0.945528,0.640658,0.319244,0.395467,0.549021,0.686606,0.413069,0.122575,0.498683,0.105797,0.455775,0.880279,0.808045,0.784118,0.868058,0.0807612,0.615024,0.0169914,0.440693,0.554429,0.180004,0.37096,1
0.9512,0.359276,0.0274068,0.616685,0.552356,0.387657,0.15144,0.973821,0.00231001,0.057387,0.675022,0.824336,0.977675,0.931899,0.757321,0.558202,0.784062,0.0213706,0.257959,0.943598,0.910209,0.411101,0.693542,0.821122,0
0.938708,0.93789,0.815851,0.799222,0.85784,0.448904,0.818176,0.508771,0.809498,0.248408,0.105963,0.785678,0.974575,0.0162513,0.718692,0.518916,0.529123,0.945976,0.729926,0.74331,0.272396,0.996531,0.292468,0.151143,1
0.412743,0.940614,0.962892,0.34998,0.194703,0.571269,0.912431,0.0870736,0.554366,0.777965,0.0636135,0.339145,0.193077,0.368198,0.204952,0.477031,0.0346989,0.331615,0.879045,0.443524,0.167386,0.764547,0.602538,0.144217,0
0.021301,0.390855,0.440217,0.737465,0.66856,0.730278,0.441402,0.74139,0.986412,0.631367,0.166614,0.451649,0.750071,0.458973,0.838812,0.0103248,0.0344353,0.515858,0.289434,0.0886621,0.136353,0.796786,0.218909,0.877365,1
0.378891,0.387477,0.62852,0.32908,0.939884,0.398815,0.0206939,0.107642,0.33778,0.39095,0.913433,0.785106,0.503373,0.617421,0.818226,0.636021,0.82662,0.884658,0.426031,0.132441,0.0694781,0.358518,0.81055,0.494611,0
0.220055,0.691478,0.860106,0.530918,0.887711,0.529489,0.397719,0.464673,0.625746,0.877003,0.943016,0.530614,0.0566394,0.24639,0.349268,0.195032,0.0683966,0.740857,0.544936,0.852481,0.869255,0.668242,0.892827,0.549577,1
0.57928,0.457395,0.588291,0.686608,0.785175,0.352081,0.300633,0.351352,0.345096,0.977314,0.304988,0.351205,0.440819,0.427813,0.773634,0.131185,0.218562,0.396977,0.892844,0.155209,0.926829,0.437641,0.100383,0.84236,0
0.624438,0.27792,0.930204,0.42905,0.91817,0.485668,0.911108,0.433062,0.159892,0.549325,0.0925839,0.813729,0.510829,0.281917,0.493776,0.375334,0.120017,0.114498,0.185281,0.112562,0.631042,0.56467,0.759978,0.456716,1
0.208903,0.477997,0.231405,0.294134,0.99111,0.0988091,0.451559,0.306891,0.271009,0.455093,0.744437,0.804297,0.6166,0.325996,0.152745,0.847445,0.17044,0.0603613,0.694203,0.98419,0.93125,0.55747,0.000165587,0.197696,0
0.416367,0.812942,0.465196,0.701586,0.362362,0.169743,0.201675,0.0866972,0.679437,0.524008,0.942728,0.754216,0.0371264,0.2287,0.417798,0.309709,0.865811,0.749654,0.506133,0.772017,0.868067,0.395924,0.163221,0.0282059,1
0.268533,0.760441,0.113084,0.976897,0.429454,0.161685,0.145463,0.611584,0.325312,0.119526,0.48187,0.845366,0.923801,0.178657,0.64966,0.939407,0.24716,0.614662,0.0904277,0.817961,0.788501,0.326898,0.930904,0.509817,0
0.166174,0.0931683,0.216115,0.884421,0.960194,0.208148,0.401839,0.881676,0.791749,0.718367,0.467366,0.65632,0.640497,0.240004,0.472481,0.45379,0.838492,0.0932388,0.421954,0.639526,0.200544,0.555798,0.0538454,0.900212,1
0.822477,0.113801,0.17849,0.991426,0.823612,0.335206,0.465378,0.917231,0.560965,0.873811,0.925807,0.766789,0.408302,0.870255,0.870089,0.762087,0.0900298,0.960279,0.0724423,0.394404,0.820009,0.242434,0.138181,0.6781,0
0.416696,0.863158,0.410944,0.439837,0.962058,0.515784,0.0974512,0.428756,0.0214319,0.743504,0.929347,0.69573,0.53981,0.809907,0.572345,0.793183,0.137122,0.332727,0.969055,0.614669,0.0170502,0.348244,0.841102,0.177248,1
0.770967,0.999463,0.60324,0.91838,0.527195,0.181799,0.971374,0.564342,0.762376,0.968967,0.931535,0.557919,0.321011,0.93998,0.680338,0.469663,0.246333,0.420445,0.855288,0.200728,0.282734,0.762884,0.149038,0.800296,0
0.10881,0.975712,0.580731,0.169074,0.0439651,0.206002,0.928645,0.340794,0.478095,0.549318,0.743012,0.0952891,0.805827,0.995976,0.101195,0.387658,0.595844,0.211777,0.457581,0.358064,0.499141,0.18015,0.836306,0.223905,1
0.664271,0.616621,0.597129,0.192664,0.38703,0.742226,0.864425,0.34516,0.807101,0.60598,0.637703,0.329342,0.0119781,0.911909,0.954014,0.43904,0.557678,0.243448,0.0123271,0.0306406,0.115275,0.670431,0.382613,0.202881,0
0.888017,0.948189,0.40789,0.0983309,0.581416,0.313007,0.122941,0.319426,0.636084,0.38503,0.0689201,0.678519,0.268023,0.668378,0.731239,0.520666,0.583853,0.488069,0.958513,0.659218,0.273039,0.636299,0.13975,0.203142,1
0.810149,0.124039,0.195199,0.816296,0.395979,0.549862,0.729587,0.0743621,0.514011,0.697328,0.678024,0.688314,0.784632,0.916339,0.530373,0.174772,0.280251,0.441933,0.492569,0.578298,0.152395,0.569008,0.116989,0.421519,0
0.115312,0.829965,0.23243,0.996164,0.306888,0.480529,0.0306553,0.47461,0.394454,0.0294928,0.436376,0.77232,0.0665406,0.471126,0.706792,0.336046,0.87806,0.122999,0.589445,0.194473,0.208639,0.172431,0.830594,0.185619,1
0.75948,0.569569,0.480458,0.683506,0.0490533,0.956573,0.166152,0.765614,0.654345,0.237894,0.870549,0.612487,0.0785554,0.307083,0.289255,0.280066,0.155864,0.0667749,0.0628626,0.494995,0.392649,0.129383,0.762584,0.78251,0
0.50375,0.182656,0.86057,0.682155,0.0172074,0.607333,0.76846,0.142392,0.391984,0.00669374,0.0763946,0.089748,0.271305,0.142828,0.0752239,0.873827,0.226976,0.893073,0.370601,0.0519103,0.641736,0.0452213,0.10445,0.993256,1
0.279032,0.575138,0.760112,0.85379,0.716583,0.472357,0.0541103,0.104545,0.436737,0.274024,0.768361,0.538312,0.582929,0.520238,0.849273,0.0229428,0.786653,0.976401,1.08602e-05,0.0338849,0.637911,0.00581038,0.265695,0.828483,0
